station,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
20 Yanvar,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
28-May,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
8 Noyabr,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Akhmedli,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Avtovaghzal,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Azadlig Prospekti,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Bakmil,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Darnagul,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Elmlar Akademiyasi,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Ganjlik,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Gara Garayev,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Hazi Aslanov,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Icherisheher,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Inshaatchilar,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Jafar Jabbarli,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Khalglar Dostlughu,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Khatai,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Khocasen,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Koroghlu,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Memar Ajami,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Memar Ajami 2,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Nariman Narimanov,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Nasimi,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Neftchilar,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Nizami,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Sahil,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
Ulduz,11.5,9.2,5.1,8.0,9.6,9.8,9.0,7.7,8.5,8.8,8.2,6.0,0.0,6.2,9.3,10.4,11.1,11.6
